#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20
#   TIMESTEP                     TIME                     MASS                     XMOM                     YMOM                     ZMOM              ANG. MOM. X              ANG. MOM. Y              ANG. MOM. Z              KIN. ENERGY              INT. ENERGY               GAS ENERGY     CENTER OF MASS X-LOC     CENTER OF MASS Y-LOC     CENTER OF MASS Z-LOC     CENTER OF MASS X-VEL     CENTER OF MASS Y-VEL     CENTER OF MASS Z-VEL      MAXIMUM TEMPERATURE          MAXIMUM DENSITY
          30   4.0279535900734655e-11   2.2664706040058195e-09   8.5741945022903228e-06  -7.0048686077163403e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.1599760082906133e-07   2.9043128783664809e+01   2.1606611090488127e+02   2.4510923968854425e+02   3.9992432630555672e-02   5.9999999934362593e-02   0.0000000000000000e+00   3.7830600966701563e+03  -3.0906505450967474e+00   0.0000000000000000e+00   1.8512187439224112e+06   2.5581628110785464e-06
          31   4.4552358789049572e-11   2.2664706040058191e-09   9.0197001833942199e-06  -7.8535464504567118e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.4277230035309565e-07   2.9121753218321732e+01   2.1598748647022273e+02   2.4510923968854098e+02   3.9992451681683153e-02   5.9999999916282742e-02   0.0000000000000000e+00   3.9796237230928859e+03  -3.4650996296074386e+00   0.0000000000000000e+00   1.6905382836887098e+06   2.5430747536787686e-06
          32   4.9252463966195977e-11   2.2664706040058195e-09   9.4750161773231020e-06  -8.7509650430909472e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.7013335873333851e-07   2.9613489275933226e+01   2.1549575041261159e+02   2.4510923968854479e+02   3.9992472404361330e-02   5.9999999894510804e-02   0.0000000000000000e+00   4.1805158031066940e+03  -3.8610538462860546e+00   0.0000000000000000e+00   1.5970656526258846e+06   2.5764406724718759e-06
          33   5.4422579661057026e-11   2.2664706040058195e-09   9.9536709427000337e-06  -9.6716436349708002e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.9890891789837135e-07   3.0240770052851584e+01   2.1486846963569192e+02   2.4510923968853703e+02   3.9992497895958969e-02   5.9999999867817316e-02   0.0000000000000000e+00   4.3917052906433710e+03  -4.2672707150390057e+00   0.0000000000000000e+00   1.5095497210771642e+06   2.6658538656494858e-06
          34   6.0109706925404185e-11   2.2664706040058191e-09   1.0456614634585228e-05  -1.0592495369818121e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -6.2915788516449005e-07   3.0357489125674871e+01   2.1475175056286218e+02   2.4510923968854252e+02   3.9992527567479549e-02   5.9999999834424923e-02   0.0000000000000000e+00   4.6136114080208827e+03  -4.6735639770031296e+00   0.0000000000000000e+00   1.4347881691854005e+06   2.6923689498084834e-06
          35   6.6365546916186048e-11   2.2664706040058195e-09   1.0976980693897634e-05  -1.1624051817799442e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -6.6044809918066869e-07   3.0847863726902713e+01   2.1426137596164330e+02   2.4510923968854036e+02   3.9992559480217488e-02   5.9999999796553086e-02   0.0000000000000000e+00   4.8432045288814379e+03  -5.1287017785515454e+00   0.0000000000000000e+00   1.4212944608963439e+06   2.6776337752986916e-06
          36   7.3246970906046107e-11   2.2664706040058195e-09   1.1532233526731062e-05  -1.2699374209000470e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -6.9384759492702620e-07   3.1165260009771512e+01   2.1394397967877131e+02   2.4510923968853976e+02   3.9992599208853549e-02   5.9999999751208302e-02   0.0000000000000000e+00   5.0881902047830181e+03  -5.6031497547575793e+00   0.0000000000000000e+00   1.4487399329572427e+06   2.7346271976713345e-06
          37   8.0816537294892172e-11   2.2664706040058195e-09   1.2132288229129003e-05  -1.3863747897690293e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -7.2995751185951930e-07   3.1282203579834576e+01   2.1382703610870800e+02   2.4510923968854573e+02   3.9992645140216297e-02   5.9999999694640239e-02   0.0000000000000000e+00   5.3529431212061954e+03  -6.1168884666702237e+00   0.0000000000000000e+00   1.4684806737588106e+06   2.7929564084206984e-06
          38   8.9143060322622848e-11   2.2664706040058195e-09   1.2745475001468045e-05  -1.5160445801583526e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -7.6684193159880038e-07   3.1701578573793984e+01   2.1340766111474275e+02   2.4510923968853703e+02   3.9992694452775257e-02   5.9999999629674519e-02   0.0000000000000000e+00   5.6234900990735814e+03  -6.6890105588788833e+00   0.0000000000000000e+00   1.4398033261612325e+06   2.8183548468335121e-06
          39   9.8302235653126590e-11   2.2664706040058195e-09   1.3402443767718595e-05  -1.6564987244963492e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -8.0637261164092864e-07   3.1721577421827902e+01   2.1338766226670779e+02   2.4510923968853911e+02   3.9992756907290518e-02   5.9999999551866148e-02   0.0000000000000000e+00   5.9133543333987054e+03  -7.3087147989857444e+00   0.0000000000000000e+00   1.3197656282993206e+06   2.9073027619265976e-06
