#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
          24   2.1670278299494037e-11   1.1395684066553829e-42   2.7800453241616438e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          25   2.4082175427684890e-11   1.1395684066553829e-42   2.7800453241617150e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          26   2.6735262268694828e-11   1.1395684066553829e-42   2.7800453241616578e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          27   2.9653657793805756e-11   1.1395684066553829e-42   2.7800453241616842e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          28   3.2863892871427778e-11   1.1395684066553829e-42   2.7800453241615605e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          29   3.6395151456812003e-11   1.1395684066553829e-42   2.7800453241616975e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          30   4.0279535900734655e-11   1.1395684066553829e-42   2.7800453241616543e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          31   4.4552358789049572e-11   1.1395684066553828e-42   2.7800453241616146e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          32   4.9252463966195977e-11   1.1395684066553829e-42   2.7800453241616574e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          33   5.4422579661057026e-11   1.1395684066553829e-42   2.7800453241615757e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          34   6.0109706925404185e-11   1.1395684066553829e-42   2.7800453241616570e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          35   6.6365546916186048e-11   1.1395684066553828e-42   2.7800453241616461e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          36   7.3246970906046107e-11   1.1395684066553828e-42   2.7800453241616457e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          37   8.0816537294892172e-11   1.1395684066553829e-42   2.7800453241616189e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          38   8.9143060322622848e-11   1.1395684066553831e-42   2.7800453241616702e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          39   9.8302235653126590e-11   1.1395684066553829e-42   2.7800453241616628e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          40   1.0837732851668070e-10   1.1395684066553829e-42   2.7800453241617126e-46   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72
          41   1.1945993066659024e-10   1.1395684066553829e-42   2.7800453241616111e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          42   1.3165079303149071e-10   1.1395684066553831e-42   2.7800453241615745e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          43   1.4506074163288123e-10   1.1395684066553834e-42   2.7800453241616158e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          44   1.5981168509441083e-10   1.1395684066553834e-42   2.7800453241615909e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          45   1.7603772290209336e-10   1.1395684066553831e-42   2.7800453241617437e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
